Date,Minimum temperatures
11/7/1980,19.2
11/8/1980,15.4
11/9/1980,13.1
11/10/1981,11.5
11/11/1982,8.6
11/12/1983,12.6
11/13/1984,13.8
11/14/1985,14.6
11/15/1986,13.2
11/16/1987,12.3
11/17/1988,8.8
11/18/1989,10.7
11/19/1990,9.9
11/20/1991,8.3
11/21/1992,15
11/22/1993,12.2
11/23/1994,10.5
11/24/1995,11.1
11/25/1996,13
11/26/1997,12.9
11/27/1998,8.8
11/28/1999,14.7
11/29/2000,14.7
11/30/2001,12.7
12/1/2002,13.3
12/2/2003,13.2
12/3/2004,16.2
12/4/2005,17.3
12/5/2006,20.5
12/6/2007,20.2
12/7/2008,19.4
12/8/2009,15.5
12/9/2010,14.1
12/10/2011,11
12/11/2012,11.1
12/12/2013,14
12/13/2014,11.4
12/14/2015,12.5
12/15/2016,13.4
12/16/2017,13.6
12/17/2018,13.9
12/18/2019,17.2
12/19/2020,14.7
12/20/2020,15.4
12/21/2020,13.1
12/22/2021,13.2
1/3/2022,13.9
1/4/2023,10
2/5/2024,12.9
2/2/2025,14.6
2/2/2026,14
1/2/2027,13.6
2/29/2028,13.5
1/3/2029,15.7
1/1/2030,13
